tidak_baku,kata_baku
nanggepin,menanggapi
nangis,menangis
nangiss,menangis
nantangin,menantang
nanya,bertanya
napa,kenapa
ne,ini
negri,negeri
neh,nih
nga,tidak
ngabisin,menghabiskan
ngadu,mengadu
ngajak,mengajak
ngajarin,mengajari
ngak,tidak
ngakak,mengakak
ngaku,mengaku
ngalahin,mengalahkan
ngambek,mengambek
ngapain,mengapai
ngarep,mengharap
ngasih,mengasih
ngatain,mengatai
nge,meng
ngebolehin,membolehkan
ngehina,menghina
ngehujat,menghujat
ngeliat,melihat
ngeliatnya,melihatnya
ngelihat,melihat
ngelihatnya,melihatnya
ngeluarin,mengeluarkan
ngerti,mengerti
ngeselin,menggesekan
ngetik,mengetik
ngga,tidak
nggak,tidak
ngikutin,mengikuti
ngisi,mengisi
ngk,tidak
ngomong,mengomong
ngomongnya,mengomongnya
ni,ini
nihh,nih
njir,anjir
njirr,anjir
njirrr,anjir
nntn,menonton
nnton,menonton
nobar,menonton bareng
nonton,menonton
nontonya,menontonnya
ntah,entah
ntar,nanti
ntn,menonton
nulis,menulis
nunggu,menunggu
ny,nya
nya,nya
nyaa,nya
nyaaa,nya
nyadar,menyadar
nyah,nya
nyambung,menyambung
nyampah,menyampah
nyampe,sampai
nyangka,menyangka
nyari,mencari
nyebur,mencebur
nyesek,menyesak
nyimak,menyimak
nyimpen,menyimpan
nyo,nya
nyoba,mencoba
nyolong,mencolong
ohh,oh
ohhhh,oh
omongin,omongkan
onoh,sono
or,orang
org,orang
orng,orang
pa,apa
pake,pakai
pakek,pakai
pala,kepala
paling,paling
pantes,pantas
paraaah,parah
parahh,parah
pass,pas
pasti,pasti
pastii,pasti
pd,pada
pda,pada
pdhl,padahal
pede,percaya diri
pen,pengin
pengen,pengin
pgn,pengin
pilm,film
pingin,pengin
pke,pakai
plg,pulang
pling,paling
pokonya,pokoknya
pollll,pol
prasaan,perasaan
ps,pas
pulak,pula
q,ku
rasain,merasai
salfok,salah fokus
salpok,salah fokus
sama2,sama-sama
sampe,sampai
sangat2,sangat-sangat
say,sayang
sblm,sebelum
sby,surabaya
sdah,sudah
sdh,sudah
seandainy,seandainya
sebelom,sebelum
sebenernya,sebenarnya
see,sih
sekalii,sekali
sempet,sempat
sendirii,sendiri
seneng,senang
serem,seram
sgt,sangat
si,sih
sich,sih
sie,sih
sihh,sih
sihhhh,sih
sii,sih
silahkan,silakan
skali,sekali
skrg,sekarang
slh,salah
sm,sama
sma,sama
smakin,semakin
smoga,semoga
smp,sampai
smpai,sampai
smpe,sampai
smua,semua
sngt,sangat
so,sok
sp,sapa
sperti,seperti
spertinya,sepertinya
spt,seperti
stelah,setelah
stress,stres
stuju,setuju
suaranyaa,suaranya
sumpahh,sumpah
sy,saya
sya,saya
syakit,sakit
syang,sayang
taek,tahi
taekk,tahi
tai,tahi
taik,tahi
tambahin,tambahkan
tanyain,tanyakan
tanyang,tayang
tapii,tapi
tar,entar
tau,tahu
taun,tahun
tay,tahi
tdi,tadi
tdk,tidak
temen,teman
tetep,tetap
tgk,tengok
th,tahu
than,tahan
thn,tahun
thun,tahun
tiba2,tiba-tiba
tingal,tinggal
tk,tak
to,tapi
tp,tapi
tpi,tapi
trlalu,terlalu
trs,terus
trus,terus
tsb,tersebut
ttp,tetap
tu,itu
tuh,itu
tuhh,tuh
u,lu
ud,sudah
uda,sudah
udah,sudah
udahlah,sudahlah
udh,sudah
uhh,uh
ush,usah
utk,untuk
w,gue
wahh,wah
wahhh,wah
waw,wow
wkwk,tertawa
wkwkwk,tertawa
wkwkwkwk,tertawa
x,kali
y,ya
yaa,ya
yaaa,ya
yaaah,ya
yah,ya
yahhh,ya
yak,ya
yg,yang
yh,ya
yng,yang
yo,ya
yukk,yuk
